epoch,train_loss,val_loss
0,26.965743909438633,27.333782876929103
1,2.196442855850237,2.207257384839265
2,2.1268933656832174,2.1500918003187026
3,2.095198499528985,2.1021194498926334
4,2.101534647581506,2.0958787341958054
5,2.113523513010492,2.1061393658138248
6,2.0858410460452466,2.090960340587171
7,2.075157930976466,2.08435508997544
8,2.0994372632465317,2.104200055451906
9,2.0633959571065836,2.0830531447648455
10,2.0859446872017204,2.083339209960309
11,2.0777470787275303,2.0703967089511166
12,2.0969959036436454,2.0961445449964407
13,2.0983069600447912,2.0758525681441107
14,2.0647430698167812,2.0687164182793905
15,2.0984667335003957,2.0841291122632932
16,2.08750077270534,2.0854415383437135
17,2.0669344808198766,2.0688904613870234
18,2.0685754946222024,2.0754152067193177
19,2.079386548537684,2.064919055735765
20,2.0639269744777025,2.0689822972775596
21,2.0839997723664516,2.0701006637285175
22,2.0739031116258633,2.07238759547131
23,2.079988251834494,2.077092277376275
24,2.06536907244056,2.070792242918735
25,2.0835794082222594,2.0740186235179072
26,2.0694639860083366,2.0682618184275157
27,2.0738832132221634,2.0709696948119105
28,2.066299768007047,2.0599815253534906
29,2.075078770552402,2.0664025515113322
30,2.0947381418957045,2.101091415985771
31,2.0674289511324884,2.0644382246571764
32,2.0665639584342728,2.063026780667512
33,2.066182893801063,2.0720566486603063
34,2.044468655739005,2.0636437817623743
35,2.07160809029158,2.0687028565177656
36,2.05960520399517,2.05971238051181
37,2.0586375410005755,2.0615010065126746
38,2.062586326075364,2.062286108800421
39,2.0756192229159636,2.065346389940729
40,2.049799035833957,2.061087653620565
41,2.060744309589028,2.057562820425841
42,2.0715872611279345,2.0608024160703753
43,2.0725876106550274,2.0644698470353533
44,2.0660397518144866,2.059929733418218
45,2.0753727690306083,2.0629135514833288
46,2.0764737309252914,2.0687475848252497
47,2.053754947551055,2.058368267947531
48,2.0420426948665207,2.0593369844576315
49,2.059120695705545,2.0617502824119898
50,2.0609612085726496,2.0612904062532995
51,2.075659635956282,2.0604176747717085
52,2.058566301038118,2.059144934200313
