epoch,train_loss,val_loss
0,27.52887476033883,27.631366220939576
1,2.5826356091384275,2.604010638538698
2,2.139660016461288,2.1524242824268085
3,2.0216191201683023,2.0459680835299454
4,2.0796385012746814,2.1076363775749307
5,2.0863023309221855,2.116988493034731
6,2.0382574665642297,2.066177978272732
7,3.057316630839023,3.221583805518879
8,1.9325009533291528,1.9779617994144838
9,1.9085870559349776,1.9575839560409014
10,1.9795367068963141,2.049571815828216
11,2.0206775655695326,2.0558264683782257
12,1.8435461243100204,1.9181432241409138
13,2.0210895714107853,2.0889964017407823
14,2.3422099946331403,2.48414709069454
15,1.8134734144798872,1.901442159596461
16,1.877607090543486,1.9511151454403957
17,1.8905191181811827,1.9859389613205243
18,1.8177109029913077,1.9160496453497429
19,1.8768047787868305,1.942782629271295
20,1.8002727405635026,1.9038910517424106
21,1.8630828384419869,1.9315100543940036
22,1.779874169474952,1.8819164069664063
23,1.798853920547956,1.9078303831192507
24,1.7395611237584745,1.8599435813305525
25,1.764692505307236,1.8760899640919375
26,1.7549436565378715,1.8769335423973226
27,1.8158301166171362,1.9186017212854953
28,1.7739243286864048,1.8895253962550023
29,1.7806651010590009,1.8989815938888222
30,1.8221645885753888,1.8778976700580792
31,1.7240663498400364,1.852126011899585
32,1.696102538952559,1.8492345416833504
33,1.676461598508799,1.8253221751537783
34,1.6763902215471855,1.8455784464649476
35,1.7033533570593866,1.867259816254112
36,1.697243726924661,1.8852125562867275
37,1.7226482223889144,1.897904098193703
38,1.6777548022947746,1.8392556480683846
39,1.6782902696497,1.8542097605585093
40,1.6439640847991044,1.8317978644179276
41,1.6841650255244156,1.8495043202955026
42,1.656926787570718,1.8516531780002583
43,1.6628386379886249,1.860410317978335
44,1.639947771706466,1.8362840698487637
