epoch,train_loss,val_loss
0,10.092022542979059,10.080106377282027
1,2.897171625183351,2.883205133852307
2,2.9149292518881627,2.880611422873694
3,2.8699270170431674,2.87821272614814
4,2.869830472220045,2.90380443133234
5,2.8632302073307394,2.881442495069938
6,2.8617954081568575,2.8693513633738252
7,2.890788566011526,2.8955808241949006
8,2.84108320445861,2.8665928137526118
9,2.8987350284893454,2.919403509543984
10,2.8435994850087103,2.8727126984430065
11,2.8846977575215194,2.8901694824484654
12,2.8501750029443738,2.8894752292786463
13,2.8208474064640323,2.862967042437188
14,2.827878312195274,2.8606736180609738
15,2.925895846241601,2.953499184217274
16,2.8499653991361726,2.896171342911094
17,2.825103630648861,2.8733283489063663
18,2.816635101154726,2.868299760383831
19,2.8560144306827167,2.89947215225997
20,2.8418111513511106,2.863867563472676
21,2.826281667714464,2.8608654612830113
22,2.819762047749742,2.867754526496253
23,2.8455563563124424,2.872757963456673
24,2.837528711349651,2.869010476580254
25,2.840320642128707,2.8879071227986435
